"Iso Number","Size","Quantity","Length","Long Description"
"","1""x3/4""","19","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-8.1-1","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-01","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-02","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-03","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-04","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-06","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-07","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-08","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-10","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-11","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-12","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-5.1-1","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-8.1-1","1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-01","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-02","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-03","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-04","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-06","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-07","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-08","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-09","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-10","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-11","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-12","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-5.1-1","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-S-8.1-1","1""x3/4""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL4-R-5.1-1","1-1/2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"","1-1/2""x1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"","1-1/2""x1-1/4""x3/4""","14","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"","1-1/2""x3/4""","21","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL5-R-5.1-1","1-1/2""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"","1-1/4""x1""x3/4""","15","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL6-S-09","1-1/4""x1""x3/4""","1","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"","1-1/4""x3/4""","23","","TEE REDUCING, THRD, 150LB MALLEABLE IRON"
"FL4-R-05","2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-R-06","2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-R-07","2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
"FL4-R-09","2""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
